ozone layer,おぞんそう
ozone hole,おぞんほーる
nerd,おた
geek,おた
enthusiast,おた
geek,おたく
nerd,おたく
enthusiast,おたく
otaku,おたく
type of fan who yells and dances at pop concerts, etc.,おたげい
geeky,おたっきー
otaku-y,おたっきー
Asian ginseng (Panax ginseng),おたねにんじん
columbine,おだまき
tadpole,おたまじゃくし
ladle,おたまじゃくし
musical note,おたまじゃくし
odalisque,おだりすく
odalisk,おだりすく
Ottawa,おたわ
Occam's razor,おっかむのかみそり
Ockham's razor,おっかむのかみそり
langue d'oc,おっくご
Occitan,おっくご
oxtail,おっくすてーる
Oxford,おっくすふぉーど
Oxford school (of analytic philosophy),おっくすふぉーどがくは
chances of winning (a bet),おっず
odds,おっず
otter trawl,おったーとろーる
otterhound,おったーはうんど
eyes mismatched in colour (color) (和製: odd eye),おっどあい
fur seal (esp. the northern fur seal, Callorhinus ursinus),おっとせい
ottoman,おっとまん
eastern pale clouded yellow (butterfly, Colias erate),おつねんちょう
offer,おっふぁー
op art,おっぷあーと
optical art,おっぷあーと
Odyssey,おでっせい
Clusiaceae (plant family),おとぎりそうか
mangosteen,おとぎりそうか
fish (kid's talk),おとと
adult language,おとなご
office jargon,おとなご
banded coral shrimp (Stenopus hispidus),おとひめえび
coral banded shrimp,おとひめえび
banded boxer shrimp,おとひめえび
odometer,おどめーたー
Lamium album var. barbatum (variety of white deadnettle),おどりこそう
honor,おなー
honour,おなー
northern pintail (Anas acuta),おなががも
thresher shark (esp. the common thresher shark, Alopias vulpinus),おながざめ
cercopithecoid (any Old World monkey of family Cercopithecidae, esp. the guenons of genus Cercopithecus),おながざる
artificial vagina (ger: Onanie, eng: cup),おなかっぷ
Simon bamboo (Pleioblastus simonii),おなごだけ
fantasy object for masturbation (和製: onanism idol),おなどる
onanism (ger: Onanie),おなに
masturbation,おなに
onanism (ger: Onanie),おなにー
masturbation,おなにー
fantasy object for masturbation (和製: onanism pet),おなぺっと
sex sleeve (和製: onanism hole),おなほ
masturbation device that mimics female genitalia,おなほ
sex sleeve (和製: onanism hole),おなほーる
masturbation device that mimics female genitalia,おなほーる
men's fashion style characterized by brown hair and deep-tanned skin, expensive brand-name clothes and accessories,おにいけい
onion (edible plant, Allium cepa),おにおん
Asian koel (Eudynamys scolopacea),おにかっこう
great barracuda (Sphyraena barracuda),おにかます
onyx,おにきす
Araneus ventricosus (species of orb-weaving spider),おにぐも
manchurian walnut,おにぐるみ
juglans mandshurica,おにぐるみ
Oriental false hawksbeard (Youngia japonica),おにたびらこ
onyx,おにっくす
greater bandicoot rat (Bandicota indica),おにねずみ
Gastrodia elata (species of saprophytic orchid),おにのやがら
Anotogaster sieboldii (largest species of dragonfly in Japan),おにやんま
respectable person (fre: honnete homme),おねとーむ
Onokoro Island (in Japanese mythology, the island formed by drops of water falling from the heavenly jeweled spear),おのころじま
Onogoro Island,おのころじま
Japan,おのころじま
Onokoro Island (in Japanese mythology, the island formed by drops of water falling from the heavenly jeweled spear),おのごろじま
Onogoro Island,おのごろじま
Japan,おのごろじま
onomatopoeia (fre: onomatopee),おのまとぴーあ
onomatopoeia (fre: onomatopee),おのまとぺ
onomatopoeia (fre: onomatopee),おのまとぺあ
onomatopoeia (fre: onomatopee),おのまとぺー
needle stonecrop (Sedum lineare),おのまんねんぐさ
opal,おぱーる
opal glass,おぱーるがらす
Ohio,おはいお
Obadiah (book of the Bible),おばであしょ
Obadiah (book of the Bible),おばでやしょ
to ignore, or turn to your advantage, all facts which seem not to fit your agenda,おばむ
to keep believing in the face of impossible odds,おばむ
to keep cheerful, or find a new way of interpreting your situation which seems less depressing,おばむ
Yes we can,おばむ
ovalbumin,おばるぶみん
opium,おぴうむ
opioid peptide,おぴおいどぺぷちど
opinion,おぴにおん
opinion leader,おぴにおんりーだー
halibut (esp. the Pacific halibut, Hippoglossus stenolepis),おひょう
Manchurian elm (Ulmus laciniata),おひょう
oviraptor (species of dinosaur, Oviraptor philoceratops),おびらぷとる
black mangrove (Bruguiera gymnorrhiza),おひるぎ
off,おふ
offer,おふぁー
op art,おぷあーと
optical art,おぷあーと
ophiolite,おふぃおらいと
officer,おふぃさー
official,おふぃしゃる
official game,おふぃしゃるげーむ
official supplier,おふぃしゃるさぷらいやー
official handicap (golf),おふぃしゃるはんで
official record,おふぃしゃるれこーど
office,おふぃす
office application,おふぃすあぷりけーしょん
office amenity,おふぃすあめにてぃ
office hours,おふぃすあわー
working day,おふぃすあわー
OfficeXP,おふぃすえっくすぴー
office automation,おふぃすおーとめーしょん
office girl,おふぃすがーる
Office95,おふぃすきゅうじゅうご
Office98,おふぃすきゅうじゅうはち
office computer,おふぃすこんぴゅーた
office computer,おふぃすこんぴゅーたー
office software package,おふぃすそふと
office suite,おふぃすそふと
Office2000,おふぃすにせん
office park,おふぃすぱーく
office building,おふぃすびる
office complex,おふぃすびる
love affair with colleague (和製: office love),おふぃすらぶ
office landscape,おふぃすらんどすけーぷ
female office worker (和製: office lady),おふぃすれでぃ
OL,おふぃすれでぃ
female office worker (和製: office lady),おふぃすれでぃー
OL,おふぃすれでぃー
office wife,おふぃすわいふ
offense,おふぇんす
offence,おふぇんす
off-off-Broadway,おふおふぶろーどうぇー
offline meeting (face-to-face meeting by people who normally interact online),おふかい
of course,おふこーす
office computer,おふこん
observer,おぶざーば
observer,おぶざーばー
off-side,おふさいど
off-site centre (center),おふさいとせんたー
offside trap,おふさいどとらっぷ
off-the-job training,おふざじょぶとれーにんぐ
off the record,おふざれこーど
off-season,おふしーずん
objet d'art,おぶじぇ
item of artwork,おぶじぇ
objection,おぶじぇくしょん
object,おぶじぇくと
object-oriented,おぶじぇくとおりえんてっど
object technology,おぶじぇくとぎじゅつ
object descriptor type,おぶじぇくときじゅつしがた
