Sakhalin,さはりん
savanna,さばんな
sahel,さばんな
savannah monkey (the vervet monkey, green monkey and grivet monkey taken collectively as one species, Cercopithecus aethiops),さばんなもんきー
hook (high point of a song),さび
Sapir-Whorf hypothesis,さぴあうぉーふのかせつ
sapience,さぴえんす
saveloy,さびろい
sub,さぶ
substitute,さぶ
sapphire,さふぁいあ
secondary email,さぶあど
sub-address,さぶあど
secondary email,さぶあどれす
sub-address,さぶあどれす
safari,さふぁり
safari coat,さふぁりこーと
safari jacket,さふぁりじゃけっと
camouflage clothes (和製: safari style),さふぁりすたいる
safari park,さふぁりぱーく
safari rally,さふぁりらりー
safari look,さふぁりるっく
safari rally,さふぁりれーす
sapphism,さふぃずむ
suffix,さふぃっくす
subwoofer (speaker system),さぶうーはー
subwoofer (speaker system),さぶうーふぁー
subway,さぶうぇい
subway,さぶうぇー
subway,さぶうえー
Subway Series,さぶうぇーしりーず
subculture,さぶかるちゃー
minor characters (和製: sub-character),さぶきゃらくたー
subclass,さぶくらす
sub-graph,さぶぐらふ
subgroup (e.g. in society),さぶぐるーぷ
sub-goal,さぶごーる
subcommand,さぶこまんど
subcollection,さぶこれくしょん
subcontractor,さぶこん
subcontractor,さぶこんとらくたー
subcompact car,さぶこんぱくとかー
sub-site,さぶさいと
small knacksack (eng: sub, ger: Sack),さぶざっく
gushing (of water, etc.),ざぶざぶ
subject,さぶじぇくと
subject line,さぶじぇくとらいん
sub-shell,さぶしぇる
sub-system,さぶしすてむ
subscriber,さぶすくらいば
subscriber,さぶすくらいばー
subscribe,さぶすくらいぶ
subscription,さぶすくりぷしょん
subscript,さぶすくりぷと
substance,さぶすたんす
substitution,さぶすてぃちゅーしょん
substitute,さぶすてぃちゅーと
substitution,さぶすてぃてゅーしょん
substitute,さぶすてぃてゅーと
substring,さぶすとりんぐ
sub-set,さぶせっと
subcenter,さぶせんたー
sub-society (e.g. of an academic society),さぶそさいえてぃ
subtitle,さぶたいとる
subtype,さぶたいぷ
subduction zone,さぶだくしょんぞーん
subchannel,さぶちゃねる
sub-channel,さぶちゃねる
subchannel,さぶちゃんねる
sub-channel,さぶちゃんねる
subteen,さぶてぃーん
subdirectory,さぶでぃれくとり
subtopic (和製: subtheme),さぶてーま
subdominant,さぶどみなんと
subdomain,さぶどめいん
subtrack,さぶとらっく
sub promenade,さぶなーど
subnetting,さぶねってぃんぐ
subnet,さぶねっと
subnetting,さぶねっとか
subnet mask,さぶねっとますく
sub-network,さぶねっとわーく
subnetwork point of attachment address,さぶねっとわーくあどれす
subnetwork address,さぶねっとわーくあどれす
subnetwork-connection,さぶねっとわーくこねくしょん
subnetwork point of attachment,さぶねっとわーくせつぞくてん
subnetwork point of attachment address,さぶねっとわーくせつぞくてんあどれす
subnetwork address,さぶねっとわーくせつぞくてんあどれす
sub notebook,さぶのーと
subnotebook personal computer,さぶのーとがたぱそこん
subpath,さぶぱす
sub-pattern,さぶぱたーん
subpattern,さぶぱたん
subbank,さぶばんく
subfield,さぶふぃーるど
subprime,さぶぷらいむ
subprime lending in housing mortage market,さぶぷらいむゆうし
housing loans to low-income, high-risk consumers,さぶぷらいむゆうし
subprogram,さぶぷろぐらむ
sub-process,さぶぷろせす
subheading,さぶへっでぃんぐ
subhead,さぶへっど
submachine gun,さぶましんがん
submanager,さぶまねーじゃー
submarine,さぶまりん
submarine pitcher,さぶまりんぴっちゃー
submicron,さぶみくろん
sub-menu,さぶめにゅー
subunit,さぶゆにっと
supply,さぷらい
supplier,さぷらいあ
supply side,さぷらいさいど
supplyside economics,さぷらいさいどえこのみっくす
surprise,さぷらいず
supply chain,さぷらいちぇーん
supply chain management,さぷらいちぇーんまねじめんと
supplier,さぷらいやー
supplier site,さぷらいやさいと
suffragette,さふらじぇっと
suffragist,さふらじすと
safflower,さふらわー
safflower oil,さふらわーゆ
saffron (dut: saffraan),さふらん
zephyr lily,さふらんもどき
supplement,さぷり
subleader,さぶりーだー
sub reader,さぶりーだー
supplicant,さぷりかんと
Sabrina pants,さぶりなぱんつ
subliminal (below the threshold of sensation or consciousness),さぶりみなる
subliminal advertisement,さぶりみなるあど
subliminal effect,さぶりみなるこうか
subliminal tape,さぶりみなるてーぷ
subliminal message,さぶりみなるめっせーじ
supplement,さぷりめんと
small knapsack (eng: sub, ger: Rueck(sack)),さぶりゅっく
small rucksack,さぶりゅっく
subroutine,さぶるーちん
subroutine subprogram,さぶるーちんふくぷろぐらむ
subroutine name,さぶるーちんめい
shortbread (fre: sable),さぶれ
shortbread (fre: sable),さぶれー
suppression,さぷれす
suppressible,さぷれすか
sublet,さぶれっと
subrange,さぶれんじ
submarine rocket,さぶろっく
SUBROC,さぶろっく
irregular conjugation (inflection, declension) ofsuru verbs,さへん
verb formed by addingsuru to a noun,さへんめいし
wooden shoes (fre: sabot),さぼ
sabotage,さぼ
supporter,さぽーた
regular (guest) on a TV program,さぽーた
supporter,さぽーたー
regular (guest) on a TV program,さぽーたー
support,さぽーと
support-ware,さぽーとうぇあ
support group,さぽーとぐるーぷ
support staff,さぽーとすたっふ
support centre (center),さぽーとせんたー
sapodilla,さぽじら
sabotage,さぼたーじ
saboteur,さぼたーじいん
sabotage,さぼたーじゅ
cactus (por: sabao),さぼてん
active substance from plants used in manufacture of soap, detergents and medication (ger: Saponin),さぽにん
to be truant,さぼる
to play hooky,さぼる
to skip school,さぼる
to skip out,さぼる
to be idle,さぼる
to sabotage by slowness,さぼる
shaddock (por: zamboa),ざぼん
pomelo,ざぼん
Citrus maximus,ざぼん
Citrus grandis,ざぼん
Citrus decumana,ざぼん
summer,さまー
summer wool,さまーうーる
summer wear,さまーうぇあ
summer camp,さまーきゃんぷ
summer coat,さまーこーと
summer school,さまーすくーる
summer stock,さまーすとっく
summer sweater,さまーせーたー
daylight savings time (summertime),さまーたいむ
summer house,さまーはうす
summer resort,さまーりぞーと
