dingo (Australian carnivore, Canis (lupus) dingo),でぃんご
day'n'date,でいんでーと
day and date,でいんでーと
tainted,ていんと
timpani (ita: timpani),てぃんぱに
tympany,てぃんぱに
timpani (ita: timpani),てぃんぱにー
tympany,てぃんぱにー
dimple,でぃんぷる
devilish,でヴぃりっしゅ
devil,でヴぃる
Deus,でうす
deus ex machina,でうす・えくす・まきな
deus ex machina,でうすえくすまきな
day (as in holiday),でー
daytime,でー
Devanagari,でーヴぁなーがりー
Devanagari character,でーヴぁなーがりーもじ
take,てーく
takeaway,てーくあうぇい
takeout,てーくあうと
take-over,てーくおーばー
take-over zone,てーくおーばーぞーん
take-over bid,てーくおーばーびっど
take-off,てーくおふ
take back,てーくばっく
day care,でーけあ
day-care center,でーけあせんたー
day game,でーげーむ
dacite,でーさいと
daisy,でーじー
daisy chain,でーじーちぇーん
daisy chain connection,でーじーちぇーんせつぞく
daisy-wheel printer,でーじーほいーるぷりんた
taste,てーすと
thesis (ger: These),てーぜ
statement,てーぜ
data,でーた
datum,でーた
data compression,でーたあっしゅく
Data Encryption Standard,でーたあんごうかきかく
DES,でーたあんごうかきかく
data-sensitive fault,でーたいぞんがたしょうがい
DDJ,でーたいぞんじった
data dependent jitter,でーたいぞんじった
data semantics,でーたいみろん
data instance,でーたいんすたんす
data interface,でーたいんたふぇーす
data intensive,でーたいんてんしぶ
data inventory,でーたいんべんとり
data warehouse,でーたうぇあはうす
data warehousing,でーたうぇあはうす
data engine,でーたえんじん
data entry,でーたえんとり
data-object,でーたおぶじぇくと
data analysis,でーたかいせき
data-circuit,でーたかいせん
data circuit-terminating equipment,でーたかいせんしゅうたんそうち
DCE,でーたかいせんしゅうたんそうち
data circuit transparency,でーたかいせんとうかせい
data hierarchy,でーたかいそう
authentication,でーたかくにん
data type,でーたがた
theta function,てーたかんすう
data integrity,でーたかんぜんせい
data administrator,でーたかんりしゃ
Data Description Language,でーたきじゅつげんご
DDL,でーたきじゅつげんご
data description entry,でーたきじゅつこう
data descriptor file,でーたきじゅつふぁいる
DDF,でーたきじゅつふぁいる
data descriptor record,でーたきじゅつれこーど
data security,でーたきみつほご
data sharing,でーたきょうよう
data station,でーたきょく
Data Recording Device,でーたきろくそうち
data clause,でーたく
data craft,でーたくらふと
datagram,でーたぐらむ
datagram service,でーたぐらむさーびす
data-glove,でーたぐろーぶ
data aggregate,でーたぐん
data constellation,でーたぐん
data trend,でーたけいこう
data tendency,でーたけいこう
data format,でーたけいしき
data unavailability,でーたけっそん
lack of data,でーたけっそん
shortage of data,でーたけっそん
data exchange,でーたこうかん
data switch,でーたこうかんき
DXC,でーたこうかんせいぎょそうち
Data Exchange Controller,でーたこうかんせいぎょそうち
data switching exchange,でーたこうかんそうち
DSE,でーたこうかんそうち
data structure,でーたこうぞう
item,でーたこうもく
data item,でーたこうもく
datacom,でーたこむ
mixed data (type) environment,でーたこんざいかんきょう
data converter,でーたこんばーた
data dictionary,でーたじしょ
data entity,でーたじったい
data object,でーたじったい
data materialization,でーたじったいか
data mapping,でーたしゃぞう
data collection,でーたしゅうしゅう
data acquisition,でーたしゅうしゅう
data acquisition and control system,でーたしゅうしゅうかんりしすてむ
data input station,でーたしゅうしゅうたんまつ
data collection station,でーたしゅうしゅうたんまつ
data concentrator,でーたしゅうせんそうち
data sink,でーたじゅしんそうち
data acquisition,でーたしゅとく
data-show,でーたしょう
data processing,でーたしょり
data handling,でーたしょり
data processing machine,でーたしょりきかい
data processing system,でーたしょりしすてむ
computer system,でーたしょりしすてむ
computing system,でーたしょりしすてむ
data processing system security,でーたしょりしすてむのあんぜんほご
computer system security,でーたしょりしすてむのあんぜんほご
data processing station,でーたしょりすてーしょん
Data Processing Center,でーたしょりせんたー
DPC,でーたしょりせんたー
data processing node,でーたしょりのーど
data series,でーたしりーず
data signaling rate,でーたしんごうそくど
data station,でーたすてーしょん
data storage,でーたすとれーじ
data consistency,でーたせいごうせい
data accuracy,でーたせいど
data-set,でーたせっと
data centre,でーたせんた
data center,でーたせんたー
dedicated data character,でーたせんようもじ
Data Manipulation Language,でーたそうさげんご
DML,でーたそうさげんご
data source,でーたそうしんそうち
data attribute,でーたぞくせい
data loss,でーたそんしつ
data object,でーたたいしょう
data type,でーたたいぷ
data type theory,でーたたいぷりろん
data tag,でーたたぐ
data tag group,でーたたぐぐん
data tag pattern,でーたたぐけいしき
data multiplexer,でーたたじゅうへんかんそうち
data unit,でーたたんい
data staging,でーただんかいか
data terminal equipment,でーたたんまつそうち
DTE,でーたたんまつそうち
data value,でーたち
data channel,でーたちゃねる
data channel equipment,でーたちゃねるそうち
data channel,でーたちゃんねる
data abstraction,でーたちゅうしょうか
data communication,でーたつうしん
Data Communications Equipment,でーたつうしんきき
DCE,でーたつうしんきき
data communications equipment,でーたつうしんそうち
with-data primitives,でーたつきしゅつりょくきほんようそ
fill area set with data,でーたつきりょういきしゅうごう
set of fill area sets with data,でーたつきりょういきしゅうごうぐん
Data Definition Language,でーたていぎげんご
DDL,でーたていぎげんご
data dictionary,でーたでぃくしょなり
data point,でーたてん
data transmission,でーたでんそう
data transmission circuit,でーたでんそうかいせん
data-transfer rate,でーたてんそうそくど
data transfer phase,でーたてんそうだんかい
data transfer phase,でーたてんそうふぇーず
channel,でーたでんそうろ
data Transmission channel,でーたでんそうろ
data entry,でーたとうにゅう
data registration,でーたとうろく
data independence,でーたどくりつせい
data content,でーたないよう
data content notation,でーたないようきほう
data flow,でーたながれ
data entry,でーたにゅうりょく
data input station,でーたにゅうりょくたんまつ
data collection station,でーたにゅうりょくたんまつ
data corruption,でーたのおせん
data contamination,でーたのおせん
data hierarchy,でーたのかいそう
data integrity,でーたのかんぜんせい
base address of data,でーたのきていあどれす
beginning of data,でーたのせんとう
data check,でーたのちぇっく
data quality,でーたのひんしつ
data integrity,でーたのほぜんせい
data rounding,でーたのまるめ
data element,でーたのようそ
data medium,でーたばいたい
data transformation,でーたばいたいへんかん
data medium protection device,でーたばいたいほごきこう
data pipe,でーたぱいぷ
data packet,でーたぱけっと
data bus,でーたばす
data origin authentication,でーたはっしんもとにんしょう
data bank,でーたばんく
data bit length,でーたびっとちょう
data representation,でーたひょうじ
data-file,でーたふぁいる
data field,でーたふぃーるど
data fork,でーたふぉーく
DataBlade,でーたぶれーど
data flow,でーたふろー
data processing,でーたぷろせしんぐ
data processor,でーたぷろせっさー
data analysis,でーたぶんせき
database,でーたべーす
database application,でーたべーすあぷりけーしょん
database engine,でーたべーすえんじん
compilation of a database,でーたべーすか
database management,でーたべーすかんり
Data Base Management System,でーたべーすかんりしすてむ
DBMS,でーたべーすかんりしすてむ
Data Base Administrator,でーたべーすかんりしゃ
DBA,でーたべーすかんりしゃ
database technology,でーたべーすぎじゅつ
database server,でーたべーすさーばー
data base reconstruction,でーたべーすさいへんせい
reorganization,でーたべーすさいへんせい
database software,でーたべーすそふと
database software,でーたべーすそふとうぇあ
data conversion,でーたへんかん
data converter,でーたへんかんき
data preparer,でーたへんしゅうしゃ
data broadcasting,でーたほうそう
data interpolation,でーたほかん
data protection,でーたほご
copy holder (和製: data holder),でーたほるだー
datamart,でーたまーと
data mining,でーたまいにんぐ
data multiplexer,でーたまるちぷれくさ
data man,でーたまん
data density,でーたみつど
packing density (deprecated in this sense),でーたみつど
data-name,でーためい
data network,でーたもう
data character,でーたもじ
data module,でーたもじゅーる
data modelling,でーたもでりんぐ
data modeling,でーたもでりんぐ
data element,でーたようそ
data entity,でーたようそ
datalink,でーたりんく
data link connection identifier,でーたりんくこねくしょんしきべつし
DLCI,でーたりんくこねくしょんしきべつし
data link layer,でーたりんくそう
data link level,でーたりんくれべる
data record,でーたれこーど
DR,でーたれこーど
data chaining,でーたれんさ
date,でーつ
date,でーと
go on a date,でーと
date girl,でーとがーる
date club,でーとくらぶ
date spot,でーとすぽっと
date rape,でーとれいぷ
taper,てーぱー
taper gauge,てーぱーげーじ
taper pin,てーぱーぴん
taper reamer,てーぱーりーまー
tapered slacks,てーぱーるどすらっくす
day pack,でーぱっく
Devanagari character,でーばなーがりーもじ
DB,でーびー
DBMS,でーびーえむえす
DB2,でーびーつー
DB-DC,でーびーでーしー
dbMAGIC,でーびーまじっく
taping (e.g. an injured joint),てーぴんぐ
tape,てーぷ
end-of-tape mark,てーぷおわりまーく
tape cartridge,てーぷかーとりっじ
tape cut (e.g. ribbon cutting ceremony),てーぷかっと
tape drive,てーぷくどうきこう
tape transport,てーぷくどうぶ
beginning-of-tape marker,てーぷしたんまーか
BOT marker,てーぷしたんまーか
end-of-tape marker,てーぷしゅうたんまーか
EOT marker,てーぷしゅうたんまーか
tape streamer,てーぷすとりーま
tape spool,てーぷすぷーる
hub,てーぷすぷーる
tape punch,てーぷせんこうきこう
tape punch,てーぷせんこうそうち
tape device,てーぷそうち
tape drive,てーぷそうち
tape deck,てーぷでっき
tape device,てーぷでばいす
tape drive,てーぷどらいぶ
tape backup,てーぷばっくあっぷ
tape hiss,てーぷひす
tape reproducer,てーぷふくせいきこう
tape reproducer,てーぷふくせいそうち
tape row,てーぷふれーむ
tape frame,てーぷふれーむ
tape player,てーぷぷれーやー
tape mark,てーぷまーく
tape library,てーぷらいぶらり
tape library,てーぷらいぶらりー
table,てーぶる
tableware,てーぶるうえあ
table cloth,てーぶるかけ
table cloth,てーぶるかけ
table cover,てーぶるかばー
tablecloth,てーぶるくろす
short speech at a dinner (和製: table speech),てーぶるすぴーち
tablespoon,てーぶるすぷーん
centrepiece of a table (和製: table center),てーぶるせんたー
power strip (和製: table tap),てーぶるたっぷ
power bar,てーぶるたっぷ
cover charge,てーぶるちゃーじ
table charge,てーぶるちゃーじ
table tennis,てーぶるてにす
table talk,てーぶるとーく
table manners,てーぶるまなー
table linen,てーぶるりねん
table lookup,てーぶるるっくあっぷ
table wine,てーぶるわいん
tape recorder,てーぷれこーだー
to breast the tape,てーぷをきる
Thebais,てーべものがたり
day hospital,でーほすぴたる
topic (ger: Thema),てーま
theme,てーま
project,てーま
Theme campaign,てーまきゃんぺーん
Theme song,てーまそんぐ
theme park,てーまぱーく
Theme promotion,てーまぷろもーしょん
Theme music,てーまみゅーじっく
demon,でーもん
daemon (in Unix, etc.),でーもん
tailor,てーらー
Taylor system,てーらーしすてむ
tailored,てーらーど
tailored collar,てーらーどからー
tailored suit,てーらーどすーつ
tailor-made,てーらーめいど
personalized medicine (和製: tailor-made medicine),てーらーめいどいりょう
tailor-made,てーらーめーど
personalized medicine (和製: tailor-made medicine),てーらーめーどいりょう
daylight,でーらいと
daylight screen,でーらいとすくりーん
daylight type,でーらいとたいぷ
daily,でーりー
daily express,でーりーえきすぷれす
daily satellite feed,でーりーさてらいとふぃーど
daily spread,でーりーすぷれっど
Daily Mirror (newspaper),でーりーみらー
tail,てーる
tael (Chinese unit of mass & currency),てーる
tailcoat,てーる
tails,てーる
tail end,てーるえんど
tailcoat,てーるこーと
tail fin,てーるふぃん
taillight,てーるらいと
tail lamp,てーるらんぷ
Danish person,でーんじん
Danes,でーんじん
Dane,でーんじん
deoxyribo (nucleic acid),でおきしりぼ
deoxyribose,でおきしりぼーす
deoxyribo nucleic acid,でおきしりぼかくさん
DNA,でおきしりぼかくさん
