backside,ひっぷ
very important person,びっぷ
VIP,びっぷ
pip,ぴっぷ
blip,ぴっぷ
hip-up girdle,ひっぷあっぷがーどる
hip cut,ひっぷかっと
BIPS,びっぷす
hip pad,ひっぷぱっど
hipbone skirt,ひっぷぼーんすかーと
hip-hop,ひっぷほっぷ
hipline,ひっぷらいん
bidet,びで
video,びでぃおう
coccyx,びていこつ
tailbone,びていこつ
video,びでお
video art,びでおあーと
video adapter,びでおあだぷた
video engineer,びでおえんじにあ
video overlay,びでおおーばーれい
video on demand,びでおおんでぃまんど
video-on-demand,びでおおんでまんど
video card,びでおかーど
video conference,びでおかいぎ
video conferencing system,びでおかいぎしすてむ
videocassette,びでおかせっと
video camera,びでおかめら
video camcorder,びでおかめら
video capture,びでおきゃぷちゃ
video capture board,びでおきゃぷちゃーぼーど
video clip,びでおくりっぷ
video game,びでおげーむ
video server,びでおさーば
video server,びでおさーばー
video CD,びでおしーでぃー
VideoCD,びでおしーでぃー
videogenic,びでおじぇにっく
video signal,びでおしぐなる
video journalist,びでおじゃーなりすと
video shop,びでおしょっぷ
video streaming,びでおすとりーみんぐ
video soft,びでおそふと
videodisc,びでおでぃすく
VD,びでおでぃすく
video display card,びでおでぃすぷれいかーど
video-tape,びでおてーぷ
video tape recorder,びでおてーぷれこーだー
video cassette recorder (和製: video deck),びでおでっき
videotex,びでおてっくす
genlock,びでおどうきそうち
generation lock,びでおどうきそうち
video bios,びでおばいおす
video buffer,びでおばっふぁ
video printer,びでおぷりんた
video projector,びでおぷろじぇくたー
video head,びでおへっど
video board,びでおぼーど
video hall,びでおほーる
video magazine,びでおまがじん
video meter,びでおめーたー
video store,びでおや
video library,びでおらいぶらり
video random access memory,びでおらむ
VRAM,びでおらむ
Video Research Ltd,びでおりさーち
video link,びでおりんく
Video Cassette (Tape) Recorder,びでおれこーだー
VCR,びでおれこーだー
video letter (message sent by video),びでおれたー
pithecanthropus,ぴてかんとろぷす
pithecanthrope,ぴてかんとろぷす
Pithecanthropus erectus,ぴてかんとろぷすえれくとぅす
vidicon,びでこん
Hominidae (family comprising of chimpanzees, gorillas, humans and orangutans),ひとか
Pitcairn,ぴとけあん
human genome,ひとげのむ
Pitcairn,ぴとけるん
human disease model (e.g. using experimental animals),ひとしっかんもでる
mouse model for human disease,ひとしっかんもでるまうす
Pediculus humanus (species of louse that infests humans),ひとじらみ
